【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【百花齊放，百家爭鳴】	比喻藝術上不同的形式和風格的自由發展，科學上不同學派的自由爭論。是中國共產黨１９５６年提出的文藝方針。
【百花齊放】	①謂千百種花同時開放，爭奇鬥艷。後借喻事物繁茂紛呈。②比喻藝術上的不同形式和風格自由地發展。參見“百花齊放，百家爭鳴”。
【百喙如一】	又作：眾口一辭。
【百喙一詞】	見“百喙如一”。
【百計千方】	謂想盡或用盡所有辦法。
【百家爭鳴】	原指我國戰國時期學術界互相辯爭的風氣。當時學術派別很多，著名的有儒、法、道、墨、名、陰陽、縱橫、農、雜等家。他們著書立說，遊說爭辯，形成“百家爭鳴”的局面。這種局面，對當時思想、文化、學術的發展有很大的推動作用。後用以稱學術研究中各抒己見以求發展的方法。
【百結愁腸】	謂愁緒如結無法解開。
【百結懸鶉】	比喻衣衫破爛。鶉鳥尾禿，像補綴百結，故雲。
【百舉百捷】	見“百舉百全”。
【百舉百全】	做一百件事，成功一百件。謂辦事萬無一失。
【百孔千瘡】	亦作“百孔千創”。①比喻殘破缺漏非常嚴重。②比喻弊病弱點很多。③比喻困苦不堪。
【百孔千創】	見“百孔千瘡”。
【百口莫辯】	謂縱有眾多的嘴也不能辯解。
【百里挑一】	①形容不可多得。②謂挑選嚴格。
【百里之命】	指國君的政令。百里，指諸侯國。
【百煉成鋼】	鐵經過多次鍛鍊，能煉成鋼。比喻久經斗爭生活的考驗，變得非常堅強。
【百慮一致】	謂使各種不同的思想歸於一致。語出《易·繫辭下》：“天下何思何慮，天下同歸而殊涂，一致而百慮。”
【百媚千嬌】	極言嬌媚動人。
【百密一疏】	在極周密的考慮中偶然出現了一點疏忽。
【百年不遇】	形容很少遇見。
【百年大計】	指有關長遠利益的計劃或措施。
【百年好事】	指婚姻喜事。
【百年樹人】	培育人才需要百年。謂育才是百年大計，要付出艱苦的勞動。
【百年偕老】	謂夫妻共同生活到老。
【百年諧老】	見“百年偕老”。
【百年之好】	永久的好合。指男女結為夫婦。
【百年之約】	即婚約。
【百品千條】	繁多的名目。
【百巧成窮】	見“百巧千窮”。
【百巧千窮】	謂有多種才能的人反而貧困不堪。
【百忍成金】	《舊唐書·孝友傳·張公藝》：“鄆州壽張人張公藝，九代同居……麟德中，高宗有事泰山，路過鄆州，親幸其宅，問其義由。其人請紙筆，但書百餘‘忍’字。”後以“百忍成金”形容忍耐的可貴。
【百舍重繭】	見“百舍重趼”。
【百舍重趼】	亦作“百舍重繭”。百里一舍，足底老皮上又生出硬皮。形容長途奔走，十分辛勞。
【百身何贖】	見“百身莫贖”。
【百身莫贖】	亦作“百身何贖”。謂一身雖百死亦不能補償。
【百世不磨】	千秋萬代永不磨滅。
【百世不易】	千秋萬代永不改變。
【百世流芳】	美名永傳于後世。
【百世流芬】	見“百世流芳”。
【百世一人】	謂極難得的人才。
【百世之利】	世世代代的利益。
【百事大吉】	謂一切順利；平安無事。
【百獸率舞】	謂音樂和諧之聲感動群獸相率起舞。
【百順百依】	同“百依百隨”。
【百順千隨】	同“百依百隨”。
【百思不解】	百般思索也不能理解。
【百思莫解】	見“百思不解”。
【百死一生】	形容生命極其危險，處于死亡的邊緣。
【百歲之盟】	同“百年之約”。
【百聞不如一見】	多次聽說還不及一次看到。意即耳聞是虛，眼見為實。
【百無禁忌】	謂一切不忌諱。
【百無聊賴】	指精神無所依託，非常無聊。
【百無是處】	又作：一無是處。形容全都是錯的，沒有一點對的地方。
【百無所成】	又作：一事無成。
【百無一成】	又作：一事無成。
【百無一堪】	謂百人中無一人能勝任。
【百無一能】	百事中無一事能做。形容人無能。
【百無一失】	見“百不失一”。
【百無一是】	謂百事之中無一件是正確的。表示對人對事的全盤否定。
【百無一用】	謂毫無用處。
【百務具舉】	各種事務全都興辦。
【百下百全】	又作：百發百中，萬無一失。
【百下百著】	見“百下百全”。
【百依百順】	同“百依百隨”。
【百依百隨】	形容什麼都順從。
【百載樹人】	見“百年樹人”。
【百戰百敗】	每戰必敗。
【百戰百勝】	每戰必勝；戰無不勝。
【百戰不殆】	謂每戰必勝，從不打敗仗。
【百戰無前】	又作：所向無敵。
【百丈竿頭】	佛教語。百丈高的竿子。比喻道行已達極高的境界。
【百折不摧】	同“百折不撓”。
【百折不回】	同“百折不撓”。
【百折不撓】	受到無數挫折都不屈服、動搖。形容意志堅強。
【百折不屈】	同“百折不撓”。
【百折不移】	屢遭挫折亦不改變其操守。
【百折千回】	形容經過種種曲折和紆迴。
【百拙千醜】	極言拙劣醜陋。
【百紫千紅】	形容繁花似錦，色彩繁多。
【百縱千隨】	同“百依百隨”。
【百足不僵】	見“百足之蟲，至死不僵”。
【百足之蟲，斷而不蹶】	見“百足之蟲，至斷不蹶”。
【百足之蟲，死而不僵】	同“百足之蟲，至死不僵”。
【百足之蟲，至斷不蹶】	同“百足之蟲，至死不僵”。
【百足之蟲，至死不僵】	比喻勢力雄厚的集體或個人一時不易垮台。
【百足之蟲】	①馬陸的別名。體長而稍扁，長寸餘，由許多環節構成，各節有足一至二對。中斷成兩截，頭尾仍能各自行走。多用以比喻故國、舊家或勢位富厚的人。②蜈蚣的俗稱。
【敗不旋踵】	形容很快就遭到失敗。
【敗材傷錦】	《左傳·襄公三十一年》：“扞子產謂子皮曰：呴‘子有美錦，不使人學制焉。大官大邑，身之所庇也，而使學者制焉。其為美錦，不亦多乎？’”《孟子·梁惠王下》：“孟子謂齊宣王曰：‘為巨室，則必使工師求大木。工師得大木，則王喜，以為能勝其任也。匠人斫而小之，則王怒，以為不勝其任矣。’”後以“敗材傷錦”喻用非其人，傷害國家。
【敗國喪家】	使國破家亡。
【敗國亡家】	見“敗國喪家”。
【敗化傷風】	見“敗俗傷化”。
【敗績失據】	謂事業失敗而無所憑依。
【敗井頹垣】	又作：房毀牆坍。形容村舍荒涼。
【敗軍之將】	戰敗的將領。
【敗鱗殘甲】	龍身上散落的鱗甲。比喻紛飛的雪花。
【敗柳殘花】	比喻風塵女子。
【敗事有餘，成事不足】	謂非但辦不好事情，反而常常把事情搞壞。
【敗俗傷風】	見“敗俗傷化”。
【敗俗傷化】	謂敗壞社會道德風氣。
【敗於垂成】	謂臨近成功時遭到失敗。
【拜賜之師】	春秋時，秦晉殽之戰，秦將孟明視被俘。獲釋時，孟謂晉君曰：“三年將拜君賜。”後三年，秦果然出兵伐晉復仇。又敗，晉人譏之為“拜賜之師”。見《左傳·文公二年》。後因以諷刺為復仇而又失敗的出兵。
【稗耳販目】	比喻見聞淺薄，如商販之買貨賣貨。
【稗官小說】	即野史小說，街談巷說之言。
【稗官野史】	泛稱記載軼聞瑣事的文字。
【扳龍附鳳】	謂依附龍鳳而升空。
【班駁陸離】	見“班駮陸離”。
【班駮陸離】	亦作“班駁陸離”。同“斑駮陸離”。
【班荊道故】	見“班荊道舊”。
【班荊道舊】	亦作“班荊道故”。謂朋友相遇于途，鋪荊坐地，共敘情懷。典出《左傳·襄公二十六年》：“楚伍參與蔡太師子朝友，其子伍舉與聲子相善……伍舉奔鄭，將遂奔晉。聲子將如晉，遇之於鄭郊，班荊相與食，而言復故。”杜預註：“班，布也。布荊坐地，共議歸楚，事朋友世親。”後泛指朋友相遇，共敘離情。
【班門弄斧】	在魯班門前擺弄斧子。魯班即公輸班，古代巧匠。比喻在行家面前賣弄本領，不自量力。
【班香宋艷】	班固和宋玉均善辭賦，以富麗見稱，後以“班香宋艷”泛稱辭賦之美者。
【班衣戲采】	相傳老萊子七十歲時穿綵衣作兒戲以娛親。後以“班衣戲采”為老養父母的孝親典故。
【斑駁陸離】	見“斑駮陸離”。
【斑駮陸離】	亦作“斑駁陸離”。色彩斑斕絢麗貌。
【斑衣戲綵】	謂身穿綵衣，作嬰兒戲耍以娛父母。《北堂書鈔》卷一二九引《孝子傳》言老萊子年七十，父母尚在，因常服斑衣，為嬰兒戲以娛父母。
【搬脣遞舌】	挑撥是非。
【搬脣弄舌】	①挑撥是非。②賣弄口才。
【搬脣弄舌】	見“搬脣弄舌”。
【搬斤播兩】	謂盤剝剋扣。
【搬弄是非】	把別人背後說的話傳來傳去，蓄意挑撥，或在別人背後亂加議論，引起糾紛。
【阪上走丸】	在斜坡上滾泥丸。極言其輕而易舉。
【板板六十四】	宋時官鑄銅錢，每板六十四文，不得增減。後因以“板板六十四”比喻刻板不知變通。
【板上釘釘】	比喻事情已定，不容變更或說話算數。
【板上砸釘】	見“板上釘釘”。
【版版六十四】	宋代鑄錢每版以六十四文為定數，不得增減。後因以“版版六十四”喻刻板守舊，不知變通。
【版築飯牛】	版築，造土牆；飯牛，喂牛。相傳商代賢者傅說築于傅岩，武丁用以為相。事見《書·說命上》。春秋時衛國賢者寧戚飯牛車下，扣牛角而歌，桓公異之，拜為上卿。事見《呂氏春秋·舉難》。後以“版築飯牛”為賢臣出身微賤之典。
【半半拉拉】	不完整；未全部完成的。
【半半路路】	事物進行的過程中間。
【半壁河山】	同“半壁江山”。
【半壁江山】	謂國土的一部或大部分。
【半壁山河】	同“半壁江山”。
【半部論語】	宋初宰相趙普，人言所讀僅只《論語》而已。太宗趙匡義因此問他。他說：“臣平生所知，誠不出此，昔以其半輔太祖（趙匡胤）定天下，今欲以其半輔陛下致太平。”見宋羅太經《鶴林玉露》卷七。舊稱半部《論語》治天下，典出於此。
【半籌不納】	半點計策也施展不出，半點辦法也沒有。
【半籌莫展】	猶半籌不納。
【半低不高】	中等；不高不矮。
【半懂不懂】	不十分懂。
【半饑半飽】	謂不求甚飽或吃不飽飯。
【半間半界】	見“半間不界”。
【半間不界】	亦作“半間半界”。①不徹底，不深透。②不明確。③又作：不上不下。④謂平庸。
【半截入土】	謂人老，已快到壽終的時候。
【半解一知】	同“一知半解”。理解得不深，知道得很少。
【半斤八兩】	舊制一斤合十六兩，半斤等於八兩。半斤、八兩輕重相等，比喻彼此不相上下。
【半路出家】	謂成年後才去做和尚、尼姑。比喻中途改業，不是科班出身。
【半路修行】	見“半路出家”。
【半夢半醒】	謂睡眠尚未清醒。
【半面之交】	謂只見過一次面的交往。
【半面之舊】	謂只見過一次面的舊交。
【半青半黃】	莊稼未成熟時，青黃相間。比喻事物未達到成熟的境地。
【半三不四】	謂心神不定，無精打采。
【半上半下】	謂兩可之間。
【半上落下】	猶半途而廢。
【半生半熟】	亦作“半生不熟”。①不熟悉；不熟練。②沒有完全成熟或未烹煮至可食用的程度。
【半生不熟】	見“半生半熟”。
【半死半生】	①未全死。②比喻無意義、無生氣的苟且的生活。
【半死不活】	亦作“半死辣活”。①不死不活。謂死又死不了，活著又受罪。②沒有生氣或活力。
【半死辣活】	見“半死不活”。
【半涂而廢】	半路上終止。比喻做事情有始無終。
【半途而廢】	見“半涂而廢”。
【半吐半露】	見“半吞半吐”。
【半推半就】	心裡願意，表面上卻不肯答應或接受。形容假意推辭。
【半吞半吐】	亦作“半吐半露”。說一半留一半。形容說話不直截了當。
【半文半白】	亦作“半文不白”。文言和白話夾雜。
【半文不白】	見“半文半白”。
【半新半舊】	不新不舊。
【半新不舊】	見“半新半舊”。
【半信半疑】	猶半信不信。
【半信不信】	謂不完全相信。
【半夜三更】	指午夜時。一夜分成五更，三更為午夜。亦泛指深夜。
【半疑半信】	同“半信半疑”。
【伴食宰相】	《舊唐書·盧懷慎傳》：“懷慎與紫微令姚崇對掌樞密，懷慎自以為吏道不及崇，每事皆推讓之。時人謂之‘伴食宰相’。”後因以指身居相位而庸懦不能任事者。
